done	id	url	title	town	area	description	NRIS_no	nara_cat	long-lat
	LC_HABS_HAER_ut0195		Oak Creek Historic Complex, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110 ; Building/structure dates: ca. 1940 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0229		Oak Creek Historic Complex, Machine Shop, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-O ; Building/structure dates: 1932 Initial Construction ; Building/structure dates: 1953 Subsequent Work ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0215		Oak Creek Historic Complex, Ranger Dormitory, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-A ; Building/structure dates: 1941 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0216		Oak Creek Historic Complex, Ranger's Residence, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-B ; Building/structure dates: ca. 1939 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0217		Oak Creek Historic Complex, Ranger's Residence, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-C ; Building/structure dates: ca. 1939 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0218		Oak Creek Historic Complex, Ranger's Residence, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-D ; Building/structure dates: ca. 1939 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0219		Oak Creek Historic Complex, Ranger's Residence, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-E ; Building/structure dates: ca. 1939 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0220		Oak Creek Historic Complex, Ranger's Residence, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-F ; Building/structure dates: ca. 1939 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0221		Oak Creek Historic Complex, Ranger's Residence, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-G ; Building/structure dates: ca. 1939 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0222		Oak Creek Historic Complex, Ranger's Residence, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-H ; Building/structure dates: ca. 1939 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
	LC_HABS_HAER_ut0223		Oak Creek Historic Complex, Three-Stall Garage, Springdale, Washington County, UT	Springdale Washington County UT	Washington County,  UT	HABS UT-110-I ; Building/structure dates: ca. 1939 Initial Construction ; National Register of Historic Places NRIS Number: 86003706	86003706		wikipedia look up
